Brand,Logo,Since,Country,Info
SATUR,https://image.msscdn.net/mfile_s01/_brand/free_medium/satur.png?202403081609,SINCE 2020,한국,세터(SATUR)는 '토요일을 선물하세요'라는 슬로건을 바탕으로 2020년 서울에서 시작된 브랜드입니다. 토요일의 여유롭고 평화로운 감성을 토대로 한 리조트 컨템포러리 룩을 제안합니다.
DIMITRIBLACK,https://image.msscdn.net/mfile_s01/_brand/free_medium/dimitriblack.png?202403131705,SINCE 2016,한국,"디미트리블랙(DIMITRI BLACK)은 브루탈리즘한 느낌을 기반으로 다양한 문화적 요소를 현대적으로 재해석하고자 합니다. 미니멀, 밀리터리, 아웃도어 등을 기반으로 포멀 캐주얼을 아우르는 편안함과 실용적인 디테일 요소를 결합하여 컬렉션을 전개합니다."
ESPIONAGE,https://image.msscdn.net/mfile_s01/_brand/free_medium/espionage.png?202402281230,SINCE 2011,한국,"에스피오나지(ESPIONAGE)는 '밖을 보다' '숨겨져 있는 것을 발견한다'는 의미의 고대 프랑스어 ESPIRE에서 유래한 말로 지금은 타국의 비밀 정보를 수집하는 첩보 활동을 뜻하기도 합니다. 첩보 활동의 의미가 적진에서 은밀히 적들의 정보를 빼오는 것을 말하는 것처럼 에스피오나지가 만드는 아이템에는 숨겨져 있는 것을 찾아내는 과정을 포함하고 있습니다. 클래식, 밀리터리, 아웃도어 등 이미 만들어져 있는 의복을 베이스로 우리가 중요하게 생각하는 원단과 부자재, 기술, 핏 등의 요소들을 정확하게 탐구하고 수집해 조합, 재정의 혹은 재해석된 결과물을 만들고자 합니다. 사전적인 의미의 에스피오나지가 가지는 부정적인 첩보 활동의 이미지가 아닌 첩보 활동의 과정, 즉 본질에 대한 탐구와 조사 활동이라는 긍정적인 느낌을 전달하려 하며 수집된 정보를 하나의 작업물로 만들어내는 일련의 과정과 그렇게 완성한 에스피오나지의 아이템을 통해 다시 만드는 과정을 다시 유추하려는 생각들 모두 에스피오나지입니다."
DOFFJASON,https://image.msscdn.net/mfile_s01/_brand/free_medium/doffjason.png?202402151447,SINCE 2016,한국,"도프제이슨(DOFFJASON)은 가죽이라는 소재에 대한 이해를 기반으로 레더 가먼츠를 중심으로 디자인하는 브랜드입니다. 스타일에 구애받지 않고 오래 입을수록 가치를 더하는 타임리스 디자인을 추구하고, 절제된 디테일과 뛰어난 퀄리티의 아이템을 선보입니다."
THENORTHFACE,https://image.msscdn.net/mfile_s01/_brand/free_medium/thenorthface.png?202402131026,SINCE 1966,미국,"노스페이스(THE NORTH FACE)는 브랜드 고유의 디자인 과학과 기술 혁신을 통해 인간이 자연과의 더 나은 공존을 경험할 수 있도록 지원해오고 있으며, 브랜드 모토인 '끊임없는 탐험(Never Stop Exploring)'을 실천하여 탐험과 도전을 통해 나아가는 브랜드입니다."
NEWBALANCE,https://image.msscdn.net/mfile_s01/_brand/free_medium/newbalance.png?202402200901,SINCE 1906,미국,"뉴발란스(NEW BALANCE)는 발에 장애가 있거나 경찰, 소방관, 우체부 등 하루 종일 서서 일하는 사람들을 위한 아치 서포트(Arch Support : 지지대가 있는 신발 깔창)를 만들며 1906년에 미국 메사추세츠주 보스턴에서 론칭했습니다. 닭의 세 개의 발톱이 만드는 균형(balance)에서 영감을 얻은 아치 서포트와 신발은 지금도 변치 않고 100년이 지난 지금도 여전히 불균형한 발에 새로운 균형을 창조하는 다양한 디자인의 스니커즈와 스포츠&패션 아이템을 만들고 있습니다."
FRIZMWORKS,https://image.msscdn.net/mfile_s01/_brand/free_medium/frizmworks.png?202403040959,SINCE 2010,한국,"프리즘웍스(FRIZMWORKS)는 다양한 복식 디자인을 특유의 캐주얼함으로 풀어내고 있는 브랜드입니다. 심플함을 기반으로 하는 외형과 달리 다양한 디테일을 숨겨두고 그것을 찾는 즐거움을 제공하며, 좋은 퀄리티와 합리적인 가격, 멋진 디자인의 컬렉션을 만들고자 노력합니다."
OUTSTANDING,https://image.msscdn.net/mfile_s01/_brand/free_medium/outstanding.png?202402061756,SINCE 2015,한국,OUTSTANDING(아웃스탠딩)은 아메리칸 캐주얼을 기반으로 아웃스탠딩 만의 스타일을 생산하는데 가치를 두고 진행하는 브랜드입니다.
FILLUMINATE,https://image.msscdn.net/mfile_s01/_brand/free_medium/filluminate.png?202402051433,SINCE 2015,한국,필루미네이트(FILLUMINATE)는 매 시즌 라이프스타일에 영감을 얻어 다양한 무드를 제안하는 컨템포러리 브랜드입니다. 스트릿적인 요소와 미니멀적인 요소를 필루미네이트만의 색으로 표현합니다.
TRAVEL,https://image.msscdn.net/mfile_s01/_brand/free_medium/travel.png?202402191417,SINCE 2018,한국,"TRAVEL™(트래블)은 ""Live in Comfort""라는 슬로건 아래 여행과 활동에 좋은 옷을 만들고자 하는 브랜드입니다."
XERO,https://image.msscdn.net/mfile_s01/_brand/free_medium/xero.png?202402131028,SINCE 2010,한국,XERO(제로)는 눈에 띄는 세부적 묘사를 억제하고 시대를 초월하는 제품의 표현과 섬세한 제품 퀄리티로 옷 자체에 접근합니다.
MATINKIM,https://image.msscdn.net/mfile_s01/_brand/free_medium/matinkim.png?202402191415,SINCE 2015,한국,"마뗑킴(MATIN KIM)은 트렌디하면서도 편안하고, 일상에서 조화롭게 적용할 수 있는 패션 문화를 지향합니다."
THISISNEVERTHAT,https://image.msscdn.net/mfile_s01/_brand/free_medium/thisisneverthat.png?202402131027,SINCE 2010,한국,"디스이즈네버댓(THISISNEVERTHAT)은 스포츠 앤 스트릿을 컨셉트로 2010년에 론칭한 브랜드입니다. 밀리터리 스타일과 1990년대 스포츠 웨어를 기반으로 현재의 무드를 담아 디자인합니다. 매 시즌 사진과 영상 등을 통해 새로운 컬렉션을 발표하며, 다양한 브랜드와 협업하며 스타일과 기능을 모두 반영한 디자인을 하고자 합니다."
SPAO,https://image.msscdn.net/mfile_s01/_brand/free_medium/spao.png?202402061558,SINCE 2009,한국,스파오(SPAO)는 좋은 소재와 기본에 충실하면서도 트렌디한 디자인으로 남녀노소 누구나 일상 속에서 편안하게 입을 수 있는 패션 라이프를 제안하는 국내 최초 글로벌 SPA 브랜드입니다.
UMBRO,https://image.msscdn.net/mfile_s01/_brand/free_medium/umbro.png?202403110945,SINCE 1924,영국,엄브로(UMBRO)는 영국 맨체스터에 본사를 두고 스포츠 웨어와 다양한 장비를 만드는 브랜드다. 오늘 날의 엄브로는 단순히 축구 브랜드로서의 역할만이 아니라 축구를 통해 얻은 헤리티지와 기능성 소재에 영국의 스트릿 스타일을 더해 신선한 무드의 패션 아이템도 함께 선보이며 세계적인 패션 브랜드로 거듭 나는데 성공했다.
WHATITISNT,https://image.msscdn.net/mfile_s01/_brand/free_medium/whatitisnt.png?202402261850,SINCE 2017,미국,와릿이즌(What it isNt)은 스트릿 문화와 예술이 결합한 '컬처 스트릿'을 선보이는 브랜드입니다. 브랜드를 대표하는 아이코닉한 ‘엔젤 로고'를 비롯하여 다양한 오리지널 아트워크를 접목한 컬렉션을 통해 우리의 진정한 아이덴티티를 보여주고자 합니다.
LEE,https://image.msscdn.net/mfile_s01/_brand/free_medium/lee.png?202403131633,SINCE 1889,미국,리(LEE)는 캔자스 시티에서 시작된 130년 역사를 지닌 브랜드입니다. 전통적으로 견고함과 실용성을 강조했던 워크 웨어와 데님으로부터 모티브를 얻어 현대적이고 세련된 스타일을 전개하는 라이프스타일 브랜드입니다.
POLORALPHLAUREN,https://image.msscdn.net/mfile_s01/_brand/free_medium/poloralphlauren.png?202402201450,SINCE 1967,미국,폴로 랄프 로렌(POLO RALPH LAUREN)은 미국을 대표하는 디자이너 랄프 로렌이 1967년에 시작한 브랜드입니다. 폴로 랄프 로렌의 제품은 실용적이면서 품격을 갖춰 꾸준한 인기와 사랑을 받고 있습니다.
COVERNAT,https://image.msscdn.net/mfile_s01/_brand/free_medium/covernat.png?202402221410,SINCE 2008,한국,"커버낫(COVERNAT)은 밀리터리, 아웃도어, 워크웨어 등의 빈티지웨어에서 얻은 모티브를 현대적인 소재와 룩으로 푸는 컨템퍼러리 브랜드입니다. 2008년에 데뷔한 이래 지금도 매 시즌 과거로부터 얻은 영감을 커버낫만의 시각으로 재해석해 도심 속에서 사는 사람들의 다양한 스타일을 풀 컬렉션으로 소개합니다."
SUARE,https://image.msscdn.net/mfile_s01/_brand/free_medium/suare.png?202402131032,SINCE 2018,한국,수아레(SUARE)는 세월이 지나도 입을 수 있는 옷에서 시작합니다.
UNIFORMBRIDGE,https://image.msscdn.net/mfile_s01/_brand/free_medium/uniformbridge.png?202403141738,SINCE 2013,한국,"유니폼브릿지(UNIFORM BRIDGE)는 클래식, 빈티지, 아웃도어, 밀리터리등 기존의 스타일을 베이스로 유니폼 브릿지만의 해석을 더해 높은 퀄리티와 합리적인 가격의 제품을 만듭니다. 기본에 충실하며 심플한 디자인 그리고 오래도록 함께할 수 있는 아이템으로 누구나 쉽게 입을 수 있는 브랜드입니다."
NATIONALGEOGRAPHIC,https://image.msscdn.net/mfile_s01/_brand/free_medium/nationalgeographic.png?202402131031,SINCE 2016,미국,"내셔널지오그래픽(NATIONAL GEOGRAPHIC)은 적극적으로 자신을 표현하며 가치소비를 추구하는 여러분을 위해 의류, 캐리어, 백팩, 캠핑 등 700여 가지가 넘는 다양한 제품을 제안합니다. 일상에서부터 자연 그리고 또 다른 세상으로 떠나는 여러분의 특별한 경험과 여정이 더욱 풍성해 질 수 있도록 노력하고 있습니다."
PARTIMENTO,https://image.msscdn.net/mfile_s01/_brand/free_medium/partimento.png?202402051447,SINCE 2014,한국,파르티멘토(PARTIMENTO)는 주어진 기본 음계를 베이스로 연주자 각자가 본인의 개성을 담아 즉흥 연주하는 음악을 의미합니다. 패션 브랜드 파르티멘토 역시 기본에 충실하지만 각자의 개성이 담긴 제품을 만듭니다.
1993STUDIO,https://image.msscdn.net/mfile_s01/_brand/free_medium/1993studio.png?202403131127,SINCE 2016,한국,"1993스튜디오(1993STUDIO)는 문화 탄생과 도약, 세대교체로 들끓던 1990년대의 진정성을 그리워하며, 1990년대의 감성을 바탕으로 다양한 스타일을 수많은 옵션과 믹스하여 풀어내고 표현합니다."
PUMA,https://image.msscdn.net/mfile_s01/_brand/free_medium/puma.png?202403110944,SINCE 1948,독일,"PUMA(푸마)는 다즐러에 의해 독일에서 만들어진 세계적인 스포츠 브랜드입니다. 현재는 토털 라이프스타일 브랜드로, 높은 퀄리티와 다양한 디자이너와의 콜라보레이션으로 세계적으로 많은 사랑을 받고 있습니다."
DISCOVERYEXPEDITION,https://image.msscdn.net/mfile_s01/_brand/free_medium/discoveryexpedition.png?202403131503,SINCE 2012,한국,"디스커버리 익스페디션(DISCOVERYEXPEDITION)은 전 세계 180여 개 국가, 42개 언어, 15억 명이 시청하는 글로벌 1위 다큐멘터리 전문 채널로 시작하여, 30여 년 동안 지구 곳곳을 탐험하며 쌓은 노하우로 놀라운 기능성과 트렌디한 디자인을 갖춘 아웃도어 아이템을 선보이는 브랜드입니다. 혁신적인 아웃도어 에디션을 통해 다양한 사람들의 일상을 발견의 즐거움 속으로 안내합니다."
BRANDED,https://image.msscdn.net/mfile_s01/_brand/free_medium/branded.png?202403071047,SINCE 2015,한국,"브랜디드(BRANDED)는 정통적인 데님을 기반으로 현대적인 감각을 가미한 데님 제품을 전문적으로 선보이고 있으며, 기본에 충실하면서도 트렌디한 디자인을 지향하는 컨템포러리 데님 전문 브랜드입니다."
COOR,https://image.msscdn.net/mfile_s01/_brand/free_medium/coor.png?202403040959,SINCE 2017,한국,쿠어(COOR)는 간결하고 조화로운 아름다움을 추구하며 동시대 누구나 공유할 수 있는 자연스러움을 담아내는 브랜드입니다.
NOT4NERD,https://image.msscdn.net/mfile_s01/_brand/free_medium/not4nerd.png?202403081329,SINCE 2016,한국,NOT4NERD(낫포너드)는 Seoul을 기반으로한 Street Brand입니다. Trend를 유지하되 불필요한 과함을 제외하고 NOT4NERD만의 감성과 아이덴티티를 표현하고 있습니다.
LIKETHEMOST,https://image.msscdn.net/mfile_s01/_brand/free_medium/likethemost.png?202403110950,SINCE 2021,한국,"라이크더모스트(LIKE THE MOST)의 라이크(LIKE)는 'Like, Infinite, Keen, Excellent'의 약자입니다. '좋아하는 것은 사라지지 않는다'라는 모티브 아래 소유하고자 하는 열망을 훌륭하고 좋은 것으로 끝없이 채우고자 합니다."
INTEMPOMOOD,https://image.msscdn.net/mfile_s01/_brand/free_medium/intempomood.png?202403040958,SINCE 2019,한국,인템포무드(INTEMPOMOOD)는 트렌디한 컬러와 유니크한 디테일을 통해 다양한 데일리 웨어 스타일을 전개하는 컨템포러리 브랜드입니다.
URBANDTYPE,https://image.msscdn.net/mfile_s01/_brand/free_medium/urbandtype.png?202403141519,SINCE 2012,한국,어반디타입(URBANDTYPE)은 도심에서 살아가는 이들을 위해 시작되었습니다. 기본적인 형태를 두고 섬세한 요소에 집중하여 미니멀한 디테일이 돋보이는 어반디타입만의 담백함을 이야기합니다.
KIIMUIR,https://image.msscdn.net/mfile_s01/_brand/free_medium/kiimuir.png?202402201031,SINCE 2021,한국,키뮤어(KIIMUIR)는 'A River Runs Through It(흐르는 강물처럼)'이라는 슬로건 아래 미니멀한 디자인을 기반으로 한 편안한 실루엣과 안정적인 밸런스에 집중한 컬렉션을 디자인합니다.
STANDARDERROR,https://image.msscdn.net/mfile_s01/_brand/free_medium/standarderror.png?202403111211,SINCE 2023,한국,스탠다드에러(STANDARDERROR)는 시대를 초월하여 반복적으로 나타나는 현상을 새롭게 재해석하여 시간이 흘러도 여전히 트렌디하게 착용할 수 있는 스타일을 추구합니다.
JEMUT,https://image.msscdn.net/mfile_s01/_brand/free_medium/jemut.png?202312180045,SINCE 2012,한국,"제멋(JEMUT)은 ""하나를 사도 제대로""라는 모토로 입을수록 더욱 마음에 드는 옷을 만듭니다. 인스턴트와 같은 유행을 좇는 대신 원단의 주문부터 부자재의 선택까지 모두 제품에 어울리는 것만 골라 디자인을 합니다. 생산은 수십 년 동안 해외의 프리미엄 브랜드의 제품을 제작한 공장에서 진행해 합리적인 가격으로 좋은 품질의 이지 캐주얼을 선보입니다."
EZKATON,https://image.msscdn.net/mfile_s01/_brand/free_medium/ezkaton.png?202403121435,SINCE 2009,한국,에즈카톤(EZKATON)은 스트릿 웨어를 기반으로 하여 일상에서 편안하게 입을 수 있는 실용적인 캐주얼 웨어를 제안합니다.
UNIONBLUE,https://image.msscdn.net/mfile_s01/_brand/free_medium/unionblue.png?202403110951,SINCE 2021,한국,"유니온블루(UNION BLUE)는 계절과 어울리는 의류 소재(Clothing Material)를 기반으로 실용적이고 편안한 실루엣과 컬러, 좋은 품질의 옷을 디자인합니다. 의복의 본질을 잃지 않고 누구에게나 자연스럽게 스며들어 오래도록 함께 할 수 있는 옷을 추구합니다."
INSILENCE,https://image.msscdn.net/mfile_s01/_brand/free_medium/insilence.png?202403110945,SINCE 2013,한국,"인사일런스(INSILENCE)는 동시대의 분위기를 반영한 어패럴 라인을 출시하는 것에 집중하며, 독자적인 실루엣과 현대적인 감성으로 아이템을 재해석한 고감도 제품을 선보입니다."
SPYDER,https://image.msscdn.net/mfile_s01/_brand/free_medium/spyder.png?202403041822,SINCE 1978,미국,스파이더(SPYDER)는 고기능 트레이닝 웨어와 라이프스타일 웨어를 선보이는 스포츠 브랜드입니다. 인체 공학적인 설계에 감각적인 디자인을 접목하여 스포츠 테크놀로지의 정점을 의복으로 표현하는 동시에 스포츠 산업 내 패션 트렌드를 선도하고 있습니다.
NOMANUAL,https://image.msscdn.net/mfile_s01/_brand/free_medium/nomanual.png?202403040957,SINCE 2017,한국,"노매뉴얼(NOMANUAL)은 2017년 서울을 기반으로 론칭한 브랜드입니다. 디자인에 대한 끊임없는 탐구를 통한 새로운 결과물의 도출을 목표로 하며, 각기 다른 다양한 제품들이 모여 하나의 문맥을 이루는 것을 지향합니다."
SCULPTOR,https://image.msscdn.net/mfile_s01/_brand/free_medium/sculptor.png?202403040957,SINCE 2012,한국,매 시즌 위트있는 스토리텔링으로 전개되는 스트릿 라인 스컬프터(SCULPTOR)는 조각가처럼 정성으로 빚은 옷을 만들어 낸다는 브랜드 철학에 따라 다양한 실루엣과 색을 사용하여 트렌드와 견고함을 갖춘 컬렉션을 만듭니다.
CALVINKLEINJEANS,https://image.msscdn.net/mfile_s01/_brand/free_medium/calvinkleinjeans.png?202403111012,SINCE 1978,미국,"Calvin Klein Jeans(캘빈클라인 진)은 1978년 설립되어 패션계를 이끄는 Leading brand 역할을 해왔으며, 기억에 남을만한 광고와 혁신적인 데님디자인으로 명성을 이어가고 있는 브랜드입니다."
GLOWNY,https://image.msscdn.net/mfile_s01/_brand/free_medium/glowny.png?202402051434,SINCE 2020,한국,"글로니(GLOWNY)는 개성, 아름다움, 빛을 중시하는 브랜드입니다. 모든 제품은 섬세함과 사랑을 바탕으로 제작하며 각기 다른 개성과 아름다움을 선사합니다."
MLB,https://image.msscdn.net/mfile_s01/_brand/free_medium/mlb.png?202402201025,SINCE 1870,미국,"MLB(엠엘비)는 148년 전통의 American Sports Lifestyle을 상징하는Major League Baseball의 클래식 헤리티지를 현대적으로 재해석하여 Technical Street Casual을 지향하고 있으며, Active한 라이프 스타일을 즐기는 Young Generation의 패션 아이콘으로 다양한 스타일에 믹스 앤 매치가 가능한 스타일링 아이템들이 오랫동안 사랑 받고있는 브랜드입니다."
PLACESTUDIO,https://image.msscdn.net/mfile_s01/_brand/free_medium/placestudio.png?202402211432,SINCE 2020,한국,플레이스 스튜디오(PLACE STUDIO)는 눈을 현혹하는 패션보다는 조금 더 편안하게 다가갈 수 있는 자연스러운 멋을 추구하는 브랜드입니다. 브랜드 고유의 감성을 유지하면서 컨템포러리적 요소와 디테일을 적용하고 합리적인 소재를 매치해 소비자의 다양한 욕구를 충족하는 룩을 완성하는 것을 모토로 합니다.
SIGNATURE,https://image.msscdn.net/mfile_s01/_brand/free_medium/signature.png?202403110943,SINCE 2016,한국,"시그니처(SIGNATURE)는 창의적이고 다면적인 디자인요소를 각각의 아이템에 담아내며, 디자인의 완성을 표현할 수 있는 패턴과 아트웍으로 아이덴티티를 표현합니다. 다양한 가능성에 도전하는 트랜디웨어 기반의 컨템포러리 브랜드입니다."
HOKA,https://image.msscdn.net/mfile_s01/_brand/free_medium/hoka.png?202311240537,SINCE 2009,미국,호카(HOKA)는 맥시멀리스트 러닝 아웃도어 브랜드입니다.
FABREGAT,https://image.msscdn.net/mfile_s01/_brand/free_medium/fabregat.png?202402131629,SINCE 2022,한국,"파브레가(FABREGAT)는 현시대를 살고 있는 새로운 세대의 시선과 자유로움, 그에 따른 다양한 문화에 발맞추어 우리 모두에게 보다 가치 중심적인 의복을 전개하고자 하며 다양한 소재와 실루엣, 좋은 퀄리티를 위해 늘 연구하고 도전합니다."
DICKIES,https://image.msscdn.net/mfile_s01/_brand/free_medium/dickies.png?202403141057,SINCE 1922,미국,"디키즈(DICKIES)는 1922년 미국, 텍사스에서 탄생하여, 다양한 서브컬처에 대한 이해를 바탕으로 재해석된 컬렉션을 선보이며, 워크웨어의 핵심가치인 높은 완성도, 내구성, 편안함을 유지하며, 트렌디한 감성을 더해, 전 세계적인 인지도와 두터운 팬 층의 사랑을 받는 글로벌 브랜드 입니다."
MARDIMERCREDI,https://image.msscdn.net/mfile_s01/_brand/free_medium/mardimercredi.png?202401100550,SINCE 2018,한국,마르디 메크르디(MARDI MERCREDI)는 매 시즌 넘버링을 통해 아카이브화하고 나열된 아카이브를 통해 마르디 메크르디만의 간결하고 우아한 무드를 표현합니다.
GIORDANO,https://image.msscdn.net/mfile_s01/_brand/free_medium/giordano.png?202403131620,SINCE 1994,홍콩,지오다노(GIORDANO)는 브랜드가 지향하는 밝고 건강하며 깨끗하면서도 세련된 이미지를 고객과 만나는 모든 접점에서 구현하기 위해 노력합니다.
SLOWACID,https://image.msscdn.net/mfile_s01/_brand/free_medium/slowacid.png?202311130015,SINCE 2016,한국,SLOW ACID(슬로우애시드)는 미니멀한 감성을 베이스로 SLOW ACID만의 독특한 포인트로 캐주얼한 룩을 선보이는 유니섹스 브랜드입니다.
BROWNBREATH,https://image.msscdn.net/mfile_s01/_brand/free_medium/brownbreath.png?202403040955,SINCE 2006,한국,"브라운브레스(BROWNBREATH)는 도시에 거주하는 사람들의 라이프스타일에 적합한 실용적인 설계를 기본으로 자신만의 색깔을 추구하는 이들을 위한 제품을 선보이며, 반항적이지만 시끄럽지 않은 디자인을 추구합니다. 브라운브레스는 2006년 론칭 이후 'Spread the Message'라는 슬로건 아래 다양한 제품군을 선보이며 서브컬처를 생산하고 서포트하는 문화 집단으로 활동하고 있습니다."
MODNINE,https://image.msscdn.net/mfile_s01/_brand/free_medium/modnine.png?202403141127,SINCE 2006,한국,"모드나인(MODNINE)은 2006년 론칭한 데님 전문 브랜드로, 시작부터 현재까지 데님만을 다루어 왔고 깊이 있는 데님 제품을 만들고 있습니다. 데님은 시간이 지날수록 색감이 깊어지고 디테일이 드러나기 때문에, 원단과 리벳, 버튼 등 데님을 구성하는 모든 것들에서 퀄리티에 대해 타협하지 않는 것이 모드나인의 유일한 원칙입니다."
ILCORSO,https://image.msscdn.net/mfile_s01/_brand/free_medium/ilcorso.png?202403061131,SINCE 2017,한국,"일꼬르소(ILCORSO)는 이탈리아어로 '흐름'을 뜻합니다. 'FLOW OF SILHOUETTE'이라는 슬로건 아래, 내추럴한 무드와 시대를 반영하는 실루엣을 표현하는 미니멀 컨템포러리 브랜드입니다."
TAKEASY,https://image.msscdn.net/mfile_s01/_brand/free_medium/takeasy.png?202403131642,SINCE 2017,한국,"테이크이지(TAKEASY)는 각 분야의 전문 디자이너로 구성된 프로젝트 디자이너 그룹입니다. 매 시즌 트렌드가 강조된 디자인과 함께 고정관념에 얽매이지 않고 장르를 넘나드는 다양한 믹스매치와 스타일을 선보입니다. 복잡하지 않은 패션, 단순하지만 스타일리시한 디자인 그리고 고정관념을 깨는 신선함. 이것이 테이크이지가 추구하는 디자인입니다."
8SECONDS,https://image.msscdn.net/mfile_s01/_brand/free_medium/8seconds.png?202403121709,SINCE 2012,한국,에잇세컨즈(8SECONDS)는 반복적인 일상과 비슷한 스타일에서 탈피하여 좀 더 특별하고 에너지 넘치는 하루를 만들고자 하는 한국인들의 일상 속 패션 그루브를 실현하는 브랜드입니다.
NONBLANK,https://image.msscdn.net/mfile_s01/_brand/free_medium/nonblank.png?202402011058,SINCE 2021,한국,넌블랭크(NONBLANK)는 오래도록 소유하고 싶은 것에 대한 고찰에서부터 시작하였습니다. '본질에 대한 충실함'을 바탕으로 높은 완성도의 제품을 통해 브랜드만의 자연스럽고 미니멀한 스타일링을 제시합니다.
XTONZ,https://image.msscdn.net/mfile_s01/_brand/free_medium/xtonz.png?202403040955,SINCE 2018,한국,XTONZ(엑스톤즈)는 다윗과 골리앗의 싸움에서 다윗이 던진 '신의 돌'을 모티브로 다윗이 골리앗을 쓰러트린 것처럼 가치있는 것에 대한 도전을 추구하자는 의미를 담은 브랜드 입니다.
