Brand_KR,Brand_ENG,Logo,Since,Country,Info,개수
프리즘웍스,FRIZMWORKS,https://image.msscdn.net/mfile_s01/_brand/free_medium/frizmworks.png?202403040959,SINCE 2010,한국,"프리즘웍스(FRIZMWORKS)는 다양한 복식 디자인을 특유의 캐주얼함으로 풀어내고 있는 브랜드입니다. 심플함을 기반으로 하는 외형과 달리 다양한 디테일을 숨겨두고 그것을 찾는 즐거움을 제공하며, 좋은 퀄리티와 합리적인 가격, 멋진 디자인의 컬렉션을 만들고자 노력합니다.",871
아웃스탠딩,OUTSTANDING,https://image.msscdn.net/mfile_s01/_brand/free_medium/outstanding.png?202402061756,SINCE 2015,한국,OUTSTANDING(아웃스탠딩)은 아메리칸 캐주얼을 기반으로 아웃스탠딩 만의 스타일을 생산하는데 가치를 두고 진행하는 브랜드입니다.,771
필루미네이트,FILLUMINATE,https://image.msscdn.net/mfile_s01/_brand/free_medium/filluminate.png?202402051433,SINCE 2015,한국,필루미네이트(FILLUMINATE)는 매 시즌 라이프스타일에 영감을 얻어 다양한 무드를 제안하는 컨템포러리 브랜드입니다. 스트릿적인 요소와 미니멀적인 요소를 필루미네이트만의 색으로 표현합니다.,415
트래블,TRAVEL,https://image.msscdn.net/mfile_s01/_brand/free_medium/travel.png?202402191417,SINCE 2018,한국,"TRAVEL™(트래블)은 ""Live in Comfort""라는 슬로건 아래 여행과 활동에 좋은 옷을 만들고자 하는 브랜드입니다.",1370
제로,XERO,https://image.msscdn.net/mfile_s01/_brand/free_medium/xero.png?202402131028,SINCE 2010,한국,XERO(제로)는 눈에 띄는 세부적 묘사를 억제하고 시대를 초월하는 제품의 표현과 섬세한 제품 퀄리티로 옷 자체에 접근합니다.,196
마뗑킴,MATINKIM,https://image.msscdn.net/mfile_s01/_brand/free_medium/matinkim.png?202402191415,SINCE 2015,한국,"마뗑킴(MATIN KIM)은 트렌디하면서도 편안하고, 일상에서 조화롭게 적용할 수 있는 패션 문화를 지향합니다.",863
디스이즈네버댓,THISISNEVERTHAT,https://image.msscdn.net/mfile_s01/_brand/free_medium/thisisneverthat.png?202402131027,SINCE 2010,한국,"디스이즈네버댓(THISISNEVERTHAT)은 스포츠 앤 스트릿을 컨셉트로 2010년에 론칭한 브랜드입니다. 밀리터리 스타일과 1990년대 스포츠 웨어를 기반으로 현재의 무드를 담아 디자인합니다. 매 시즌 사진과 영상 등을 통해 새로운 컬렉션을 발표하며, 다양한 브랜드와 협업하며 스타일과 기능을 모두 반영한 디자인을 하고자 합니다.",1927
스파오,SPAO,https://image.msscdn.net/mfile_s01/_brand/free_medium/spao.png?202402061558,SINCE 2009,한국,스파오(SPAO)는 좋은 소재와 기본에 충실하면서도 트렌디한 디자인으로 남녀노소 누구나 일상 속에서 편안하게 입을 수 있는 패션 라이프를 제안하는 국내 최초 글로벌 SPA 브랜드입니다.,1375
커버낫,COVERNAT,https://image.msscdn.net/mfile_s01/_brand/free_medium/covernat.png?202402221410,SINCE 2008,한국,"커버낫(COVERNAT)은 밀리터리, 아웃도어, 워크웨어 등의 빈티지웨어에서 얻은 모티브를 현대적인 소재와 룩으로 푸는 컨템퍼러리 브랜드입니다. 2008년에 데뷔한 이래 지금도 매 시즌 과거로부터 얻은 영감을 커버낫만의 시각으로 재해석해 도심 속에서 사는 사람들의 다양한 스타일을 풀 컬렉션으로 소개합니다.",2241
수아레,SUARE,https://image.msscdn.net/mfile_s01/_brand/free_medium/suare.png?202402131032,SINCE 2018,한국,수아레(SUARE)는 세월이 지나도 입을 수 있는 옷에서 시작합니다.,293
유니폼브릿지,UNIFORMBRIDGE,https://image.msscdn.net/mfile_s01/_brand/free_medium/uniformbridge.png?202403141738,SINCE 2013,한국,"유니폼브릿지(UNIFORM BRIDGE)는 클래식, 빈티지, 아웃도어, 밀리터리등 기존의 스타일을 베이스로 유니폼 브릿지만의 해석을 더해 높은 퀄리티와 합리적인 가격의 제품을 만듭니다. 기본에 충실하며 심플한 디자인 그리고 오래도록 함께할 수 있는 아이템으로 누구나 쉽게 입을 수 있는 브랜드입니다.",1074
파르티멘토,PARTIMENTO,https://image.msscdn.net/mfile_s01/_brand/free_medium/partimento.png?202402051447,SINCE 2014,한국,파르티멘토(PARTIMENTO)는 주어진 기본 음계를 베이스로 연주자 각자가 본인의 개성을 담아 즉흥 연주하는 음악을 의미합니다. 패션 브랜드 파르티멘토 역시 기본에 충실하지만 각자의 개성이 담긴 제품을 만듭니다.,1919
1993스튜디오,1993STUDIO,https://image.msscdn.net/mfile_s01/_brand/free_medium/1993studio.png?202403131127,SINCE 2016,한국,"1993스튜디오(1993STUDIO)는 문화 탄생과 도약, 세대교체로 들끓던 1990년대의 진정성을 그리워하며, 1990년대의 감성을 바탕으로 다양한 스타일을 수많은 옵션과 믹스하여 풀어내고 표현합니다.",226
디스커버리 익스페디션,DISCOVERYEXPEDITION,https://image.msscdn.net/mfile_s01/_brand/free_medium/discoveryexpedition.png?202403131503,SINCE 2012,한국,"디스커버리 익스페디션(DISCOVERYEXPEDITION)은 전 세계 180여 개 국가, 42개 언어, 15억 명이 시청하는 글로벌 1위 다큐멘터리 전문 채널로 시작하여, 30여 년 동안 지구 곳곳을 탐험하며 쌓은 노하우로 놀라운 기능성과 트렌디한 디자인을 갖춘 아웃도어 아이템을 선보이는 브랜드입니다. 혁신적인 아웃도어 에디션을 통해 다양한 사람들의 일상을 발견의 즐거움 속으로 안내합니다.",1959
브랜디드,BRANDED,https://image.msscdn.net/mfile_s01/_brand/free_medium/branded.png?202403071047,SINCE 2015,한국,"브랜디드(BRANDED)는 정통적인 데님을 기반으로 현대적인 감각을 가미한 데님 제품을 전문적으로 선보이고 있으며, 기본에 충실하면서도 트렌디한 디자인을 지향하는 컨템포러리 데님 전문 브랜드입니다.",204
쿠어,COOR,https://image.msscdn.net/mfile_s01/_brand/free_medium/coor.png?202403040959,SINCE 2017,한국,쿠어(COOR)는 간결하고 조화로운 아름다움을 추구하며 동시대 누구나 공유할 수 있는 자연스러움을 담아내는 브랜드입니다.,469
낫포너드,NOT4NERD,https://image.msscdn.net/mfile_s01/_brand/free_medium/not4nerd.png?202403081329,SINCE 2016,한국,NOT4NERD(낫포너드)는 Seoul을 기반으로한 Street Brand입니다. Trend를 유지하되 불필요한 과함을 제외하고 NOT4NERD만의 감성과 아이덴티티를 표현하고 있습니다.,443
라이크더모스트,LIKETHEMOST,https://image.msscdn.net/mfile_s01/_brand/free_medium/likethemost.png?202403110950,SINCE 2021,한국,"라이크더모스트(LIKE THE MOST)의 라이크(LIKE)는 'Like, Infinite, Keen, Excellent'의 약자입니다. '좋아하는 것은 사라지지 않는다'라는 모티브 아래 소유하고자 하는 열망을 훌륭하고 좋은 것으로 끝없이 채우고자 합니다.",704
인템포무드,INTEMPOMOOD,https://image.msscdn.net/mfile_s01/_brand/free_medium/intempomood.png?202403040958,SINCE 2019,한국,인템포무드(INTEMPOMOOD)는 트렌디한 컬러와 유니크한 디테일을 통해 다양한 데일리 웨어 스타일을 전개하는 컨템포러리 브랜드입니다.,322
어반디타입,URBANDTYPE,https://image.msscdn.net/mfile_s01/_brand/free_medium/urbandtype.png?202403141519,SINCE 2012,한국,어반디타입(URBANDTYPE)은 도심에서 살아가는 이들을 위해 시작되었습니다. 기본적인 형태를 두고 섬세한 요소에 집중하여 미니멀한 디테일이 돋보이는 어반디타입만의 담백함을 이야기합니다.,168
키뮤어,KIIMUIR,https://image.msscdn.net/mfile_s01/_brand/free_medium/kiimuir.png?202402201031,SINCE 2021,한국,키뮤어(KIIMUIR)는 'A River Runs Through It(흐르는 강물처럼)'이라는 슬로건 아래 미니멀한 디자인을 기반으로 한 편안한 실루엣과 안정적인 밸런스에 집중한 컬렉션을 디자인합니다.,380
스탠다드에러,STANDARDERROR,https://image.msscdn.net/mfile_s01/_brand/free_medium/standarderror.png?202403111211,SINCE 2023,한국,스탠다드에러(STANDARDERROR)는 시대를 초월하여 반복적으로 나타나는 현상을 새롭게 재해석하여 시간이 흘러도 여전히 트렌디하게 착용할 수 있는 스타일을 추구합니다.,194
제멋,JEMUT,https://image.msscdn.net/mfile_s01/_brand/free_medium/jemut.png?202312180045,SINCE 2012,한국,"제멋(JEMUT)은 ""하나를 사도 제대로""라는 모토로 입을수록 더욱 마음에 드는 옷을 만듭니다. 인스턴트와 같은 유행을 좇는 대신 원단의 주문부터 부자재의 선택까지 모두 제품에 어울리는 것만 골라 디자인을 합니다. 생산은 수십 년 동안 해외의 프리미엄 브랜드의 제품을 제작한 공장에서 진행해 합리적인 가격으로 좋은 품질의 이지 캐주얼을 선보입니다.",1341
에즈카톤,EZKATON,https://image.msscdn.net/mfile_s01/_brand/free_medium/ezkaton.png?202403121435,SINCE 2009,한국,에즈카톤(EZKATON)은 스트릿 웨어를 기반으로 하여 일상에서 편안하게 입을 수 있는 실용적인 캐주얼 웨어를 제안합니다.,628
유니온블루,UNIONBLUE,https://image.msscdn.net/mfile_s01/_brand/free_medium/unionblue.png?202403110951,SINCE 2021,한국,"유니온블루(UNION BLUE)는 계절과 어울리는 의류 소재(Clothing Material)를 기반으로 실용적이고 편안한 실루엣과 컬러, 좋은 품질의 옷을 디자인합니다. 의복의 본질을 잃지 않고 누구에게나 자연스럽게 스며들어 오래도록 함께 할 수 있는 옷을 추구합니다.",131
인사일런스,INSILENCE,https://image.msscdn.net/mfile_s01/_brand/free_medium/insilence.png?202403110945,SINCE 2013,한국,"인사일런스(INSILENCE)는 동시대의 분위기를 반영한 어패럴 라인을 출시하는 것에 집중하며, 독자적인 실루엣과 현대적인 감성으로 아이템을 재해석한 고감도 제품을 선보입니다.",775
노매뉴얼,NOMANUAL,https://image.msscdn.net/mfile_s01/_brand/free_medium/nomanual.png?202403040957,SINCE 2017,한국,"노매뉴얼(NOMANUAL)은 2017년 서울을 기반으로 론칭한 브랜드입니다. 디자인에 대한 끊임없는 탐구를 통한 새로운 결과물의 도출을 목표로 하며, 각기 다른 다양한 제품들이 모여 하나의 문맥을 이루는 것을 지향합니다.",1280
스컬프터,SCULPTOR,https://image.msscdn.net/mfile_s01/_brand/free_medium/sculptor.png?202403040957,SINCE 2012,한국,매 시즌 위트있는 스토리텔링으로 전개되는 스트릿 라인 스컬프터(SCULPTOR)는 조각가처럼 정성으로 빚은 옷을 만들어 낸다는 브랜드 철학에 따라 다양한 실루엣과 색을 사용하여 트렌드와 견고함을 갖춘 컬렉션을 만듭니다.,1296
글로니,GLOWNY,https://image.msscdn.net/mfile_s01/_brand/free_medium/glowny.png?202402051434,SINCE 2020,한국,"글로니(GLOWNY)는 개성, 아름다움, 빛을 중시하는 브랜드입니다. 모든 제품은 섬세함과 사랑을 바탕으로 제작하며 각기 다른 개성과 아름다움을 선사합니다.",317
플레이스 스튜디오,PLACESTUDIO,https://image.msscdn.net/mfile_s01/_brand/free_medium/placestudio.png?202402211432,SINCE 2020,한국,플레이스 스튜디오(PLACE STUDIO)는 눈을 현혹하는 패션보다는 조금 더 편안하게 다가갈 수 있는 자연스러운 멋을 추구하는 브랜드입니다. 브랜드 고유의 감성을 유지하면서 컨템포러리적 요소와 디테일을 적용하고 합리적인 소재를 매치해 소비자의 다양한 욕구를 충족하는 룩을 완성하는 것을 모토로 합니다.,305
시그니처,SIGNATURE,https://image.msscdn.net/mfile_s01/_brand/free_medium/signature.png?202403110943,SINCE 2016,한국,"시그니처(SIGNATURE)는 창의적이고 다면적인 디자인요소를 각각의 아이템에 담아내며, 디자인의 완성을 표현할 수 있는 패턴과 아트웍으로 아이덴티티를 표현합니다. 다양한 가능성에 도전하는 트랜디웨어 기반의 컨템포러리 브랜드입니다.",446
파브레가,FABREGAT,https://image.msscdn.net/mfile_s01/_brand/free_medium/fabregat.png?202402131629,SINCE 2022,한국,"파브레가(FABREGAT)는 현시대를 살고 있는 새로운 세대의 시선과 자유로움, 그에 따른 다양한 문화에 발맞추어 우리 모두에게 보다 가치 중심적인 의복을 전개하고자 하며 다양한 소재와 실루엣, 좋은 퀄리티를 위해 늘 연구하고 도전합니다.",258
마르디 메크르디,MARDIMERCREDI,https://image.msscdn.net/mfile_s01/_brand/free_medium/mardimercredi.png?202401100550,SINCE 2018,한국,마르디 메크르디(MARDI MERCREDI)는 매 시즌 넘버링을 통해 아카이브화하고 나열된 아카이브를 통해 마르디 메크르디만의 간결하고 우아한 무드를 표현합니다.,1504
슬로우애시드,SLOWACID,https://image.msscdn.net/mfile_s01/_brand/free_medium/slowacid.png?202311130015,SINCE 2016,한국,SLOW ACID(슬로우애시드)는 미니멀한 감성을 베이스로 SLOW ACID만의 독특한 포인트로 캐주얼한 룩을 선보이는 유니섹스 브랜드입니다.,1112
브라운브레스,BROWNBREATH,https://image.msscdn.net/mfile_s01/_brand/free_medium/brownbreath.png?202403040955,SINCE 2006,한국,"브라운브레스(BROWNBREATH)는 도시에 거주하는 사람들의 라이프스타일에 적합한 실용적인 설계를 기본으로 자신만의 색깔을 추구하는 이들을 위한 제품을 선보이며, 반항적이지만 시끄럽지 않은 디자인을 추구합니다. 브라운브레스는 2006년 론칭 이후 'Spread the Message'라는 슬로건 아래 다양한 제품군을 선보이며 서브컬처를 생산하고 서포트하는 문화 집단으로 활동하고 있습니다.",733
모드나인,MODNINE,https://image.msscdn.net/mfile_s01/_brand/free_medium/modnine.png?202403141127,SINCE 2006,한국,"모드나인(MODNINE)은 2006년 론칭한 데님 전문 브랜드로, 시작부터 현재까지 데님만을 다루어 왔고 깊이 있는 데님 제품을 만들고 있습니다. 데님은 시간이 지날수록 색감이 깊어지고 디테일이 드러나기 때문에, 원단과 리벳, 버튼 등 데님을 구성하는 모든 것들에서 퀄리티에 대해 타협하지 않는 것이 모드나인의 유일한 원칙입니다.",243
일꼬르소,ILCORSO,https://image.msscdn.net/mfile_s01/_brand/free_medium/ilcorso.png?202403061131,SINCE 2017,한국,"일꼬르소(ILCORSO)는 이탈리아어로 '흐름'을 뜻합니다. 'FLOW OF SILHOUETTE'이라는 슬로건 아래, 내추럴한 무드와 시대를 반영하는 실루엣을 표현하는 미니멀 컨템포러리 브랜드입니다.",777
테이크이지,TAKEASY,https://image.msscdn.net/mfile_s01/_brand/free_medium/takeasy.png?202403131642,SINCE 2017,한국,"테이크이지(TAKEASY)는 각 분야의 전문 디자이너로 구성된 프로젝트 디자이너 그룹입니다. 매 시즌 트렌드가 강조된 디자인과 함께 고정관념에 얽매이지 않고 장르를 넘나드는 다양한 믹스매치와 스타일을 선보입니다. 복잡하지 않은 패션, 단순하지만 스타일리시한 디자인 그리고 고정관념을 깨는 신선함. 이것이 테이크이지가 추구하는 디자인입니다.",313
에잇세컨즈,8SECONDS,https://image.msscdn.net/mfile_s01/_brand/free_medium/8seconds.png?202403121709,SINCE 2012,한국,에잇세컨즈(8SECONDS)는 반복적인 일상과 비슷한 스타일에서 탈피하여 좀 더 특별하고 에너지 넘치는 하루를 만들고자 하는 한국인들의 일상 속 패션 그루브를 실현하는 브랜드입니다.,6705
넌블랭크,NONBLANK,https://image.msscdn.net/mfile_s01/_brand/free_medium/nonblank.png?202402011058,SINCE 2021,한국,넌블랭크(NONBLANK)는 오래도록 소유하고 싶은 것에 대한 고찰에서부터 시작하였습니다. '본질에 대한 충실함'을 바탕으로 높은 완성도의 제품을 통해 브랜드만의 자연스럽고 미니멀한 스타일링을 제시합니다.,312
엑스톤즈,XTONZ,https://image.msscdn.net/mfile_s01/_brand/free_medium/xtonz.png?202403040955,SINCE 2018,한국,XTONZ(엑스톤즈)는 다윗과 골리앗의 싸움에서 다윗이 던진 '신의 돌'을 모티브로 다윗이 골리앗을 쓰러트린 것처럼 가치있는 것에 대한 도전을 추구하자는 의미를 담은 브랜드 입니다.,247
1989스탠다드,1989STANDARD,https://image.msscdn.net/mfile_s01/_brand/free_medium/1989standard.png?202403110950,SINCE 2022,한국,1989스탠다드(1989STANDARD)는 'A new generation of archive(새로운 세대의 아카이브)'라는 슬로건 아래 과거의 스트릿패션을 트렌디하게 재해석해 일상에서 더욱 자유롭고 편안하게 입을 수 있는 스타일을 제시하는 유니섹스 브랜드입니다.,198
러프사이드,ROUGHSIDE,https://image.msscdn.net/mfile_s01/_brand/free_medium/roughside.png?202403131157,SINCE 2018,한국,"러프사이드(ROUGHSIDE)는 과거의 거친 질감과 현대의 동시대적인 감성을 각각 한 단면으로서 표현하는 브랜드입니다. 현대인으로 살고 있지만, 과거를 느끼며 빠르고 차갑게 변화하는 사회에서 과거의 기억이 따듯하게 스며들기를 기대합니다.",439
퍼스텝,PERSTEP,https://image.msscdn.net/mfile_s01/_brand/free_medium/perstep.png?202403121454,SINCE 2014,한국,퍼스텝(PERSTEP)은 진화라는 의미를 재해석해 사람들에게 소개하는 브랜드입니다. 퍼스텝의 유니크한 디자인을 통해서 새로운 라이프스타일을 만날 수 있습니다.,1234
마인드브릿지,MINDBRIDGE,https://image.msscdn.net/mfile_s01/_brand/free_medium/mindbridge.png?202402071120,SINCE 2003,한국,마인드브릿지(MINDBRIDGE)는 모든 이의 일과 삶에 크리에이티브한 영감(Creativity in Work&Life)을 주는 브랜드입니다.,820
어반스터프,URBANSTOFF,https://image.msscdn.net/mfile_s01/_brand/free_medium/urbanstoff.png?202402161139,SINCE 2013,한국,어반스터프(URBANSTOFF)는 '도시의' '세련된'이란 뜻을 지닌 URBAN과 '직물'이란 의미인 독일어 STOFF의 합성어로 도시형 라이프스타일을 지향하는 현대인의 세련된 컴포터블 캐주얼 룩을 선보입니다. 다양한 소재를 이용해 고품질의 아이템을 디자인하는 브랜드입니다.,389
비바스튜디오,VIVASTUDIO,https://image.msscdn.net/mfile_s01/_brand/free_medium/vivastudio.png?202402151145,SINCE 2008,한국,"비바스튜디오(VIVASTUDIO)는 ""코퍼레이트 로큰롤(Corporate Rock'n Roll)""이란 슬로건과 함께 2008년에 론칭했습니다. 고유의 스페셜리티를 유지하며 다양한 캐주얼 아이템을 선보이며, 몸에 잘 맞는 실루엣을 통해 편안한 옷을 만듭니다.",432
더콜디스트모먼트,THECOLDESTMOMENT,https://image.msscdn.net/mfile_s01/_brand/free_medium/thecoldestmoment.png?202402060848,SINCE 2018,한국,더콜디스트모먼트(THE COLDEST MOMENT)는 주변에 존재하는 다양한 요소들을 우리만의 온도로 해석하고 소통하고자 하는 유스 컬처 브랜드입니다.,410
브렌슨,BRENSON,https://image.msscdn.net/mfile_s01/_brand/free_medium/brenson.png?202402261847,SINCE 2015,한국,BRENSON(브렌슨)은 트렌디한 감성으로 퀄리티 높은 아이템을 제작하는 브랜드입니다.,278
노이어,NOIRER,https://image.msscdn.net/mfile_s01/_brand/free_medium/noirer.png?202403071527,SINCE 2013,한국,"NOIRER(노이어)는 noir + er’로 불어 ‘noir’의 사전적 의미인 ‘농후한, 짙은, 어두운’이란 단어에, 만드는 사람인 ‘-er’을 붙인 합성어로 말 그대로 해석하면 ‘짙은 옷을 만드는 사람’으로 우리에게 옷이란 입는 사람의 철학과 살아온 과거가 그리고 앞으로의 삶에 대한 조용한 의지가 담겨있다.",526
타입서비스,TYPESERVICE,https://image.msscdn.net/mfile_s01/_brand/free_medium/typeservice.png?202402081037,SINCE 2021,한국,타입서비스(TYPESERVICE)는 2021년 론칭한 개인의 편안함 속 개성을 찾아내는 브랜드입니다.,209
토마스모어,THOMASMORE,https://image.msscdn.net/mfile_s01/_brand/free_medium/thomasmore.png?202312040045,SINCE 2007,한국,토마스모어(THOMASMORE)는 심플하고 기본에 충실한 옷을 만듭니다. 정제된 디자인과 그 안에 숨어있는 소소한 디테일들은 우리의 옷을 한층 돋보이게 만들어 줍니다. 토마스모어는 뛰어난 퀄리티에 자연스럽고 세련된 컬렉션을 합리적인 가격으로 선보입니다.,519
르마드,LEMARD,https://image.msscdn.net/mfile_s01/_brand/free_medium/lemard.png?202402161738,SINCE 2021,한국,르마드(LEMARD)는 원단의 텍스처를 기반으로 다양한 실루엣을 선보이는 컨템포러리 이지 웨어 브랜드입니다. 경계가 없는 내추럴한 무드의 라이프스타일을 함께 공유합니다.,419
맨인스토어,MANINSTORE,https://image.msscdn.net/mfile_s01/_brand/free_medium/maninstore.png?202401110904,SINCE 2017,한국,맨인스토어(MAN IN STORE)는 기본에 충실하면서도 유행에 뒤처지지 않는 편안하고 베이식한 제품을 합리적인 가격으로 제공하는 프리미엄 자체 제작 브랜드입니다.,172
티떠블유엔,TWN,https://image.msscdn.net/mfile_s01/_brand/free_medium/twn.png?202403121451,SINCE 2007,한국,"티떠블유엔(TWN)은 ""바로 지금이 가장 가치 있는 순간이다""로 번역되는 ""The Worth Now""를 슬로건으로 지금 이 순간을 소중히 여기고 즐기며 살자는 모토를 담은 아이템을 디자인하는 브랜드입니다.",1074
로맨틱크라운,ROMANTICCROWN,https://image.msscdn.net/mfile_s01/_brand/free_medium/romanticcrown.png?202403040954,SINCE 2009,한국,로맨틱크라운(ROMANTIC CROWN)은 2009년 `Life is Romantic`이라는 슬로건을 내걸고 론칭한 브랜드입니다. 우리가 살아가는 일상 속 이야기를 컬렉션으로 선보입니다.,875
블랙모먼트,BLACKMOMENT,https://image.msscdn.net/mfile_s01/_brand/free_medium/blackmoment.png?202402221755,SINCE 2021,한국,블랙모먼트(BLACK MOMENT)는 어느 시즌이든 항상 트렌디하게 쓰이는 컬러인 블랙과 순간을 의미하는 모먼트의 합성어로 트렌디한 순간을 뜻합니다. 트렌디하면서도 기본에 충실한 아이템을 합리적인 가격으로 디자인하는 브랜드입니다.,106
더블유브이프로젝트,WVPROJECT,https://image.msscdn.net/mfile_s01/_brand/free_medium/wvproject.png?202403121536,SINCE 2015,한국,더블유브이프로젝트(WV PROJECT)는 어린아이처럼 순수하고 천진난만한 속내를 드러내지 못한채 어른으로 살아야 하는 요즘 사람들의 모습을 도형을 비롯한 다양한 모티브로 재해석해 패션으로 풀어내는 브랜드입니다.,1412
메종미네드,MAISONMINED,https://image.msscdn.net/mfile_s01/_brand/free_medium/maisonmined.png?202402191533,SINCE 2018,한국,"MAISON MINED(메종 미네드)는 데님 소재를 기반으로 실험적이고 도전적인 스타일을 전개하는 하이엔드 스트릿 브랜드입니다. 브랜드명의 MINED는 DENIM을 반대로 해석해서 지어졌습니다. 품질과 소재 등 기본에 가장 충실하면서도, 자유로움과 시크함을 표현하는 스트릿 실루엣의 아이템을 선보이는 브랜드입니다.",498
나이스고스트클럽,NICEGHOSTCLUB,https://image.msscdn.net/mfile_s01/_brand/free_medium/niceghostclub.png?202403040955,SINCE 2021,한국,"나이스고스트클럽(NICEGHOSTCLUB)은 친절한 유령들의 클럽이라는 키치한 의미를 가진 스트릿 캐주얼 브랜드입니다. 패션, 애니메이션, 스트릿, 고스 및 스케이터 문화에서 영감받은 비주얼과 판타지 요소를 더한 그래픽 아트워크가 특징입니다.",694
